episode_number,title,url,date,topic,description
2143,Will Heaven Ever Grow Boring?,https://www.desiringgod.org/interviews/will-heaven-ever-grow-boring,2025-04-21,Heaven & Hell,"We know the new heavens and new earth will be a place of perfect, endless joy. But will we really never get bored, even after millions of years?"
2142,The Cost of Being a Loner,https://www.desiringgod.org/interviews/the-cost-of-being-a-loner,2025-04-17,Life Together,"Those who try to live the Christian life outside of community are missing something crucial. So, how might Christian loners move toward life together?"
2141,God Withholds Nothing We Need,https://www.desiringgod.org/interviews/god-withholds-nothing-we-need,2025-04-14,Prayer,"If God has already promised not to withhold anything good from us, then does asking him for more imply that yesterday’s good wasn’t good enough?"
2140,How Can I Grow in Humility as I Grow in Knowledge?,https://www.desiringgod.org/interviews/how-can-i-grow-in-humility-as-i-grow-in-knowledge,2025-04-10,Life of the Mind,"If knowledge puffs up, will formal Bible education make us proud? Pastor John points out pride’s craftiness and offers five weapons of humility."
2139,How to Become the Mother of Jesus,https://www.desiringgod.org/interviews/how-to-become-the-mother-of-jesus,2025-04-07,New Testament Biblical Figures,"What does the Bible say about Mary, Jesus’s mother? What is Mary’s true legacy for Christians today?"
2138,Distinguishing Shame from Guilt,https://www.desiringgod.org/interviews/distinguishing-shame-from-guilt,2025-04-03,The Power & Effects of Sin,What is the difference between guilt and shame? And when do true feelings of guilt or shame become false feelings that reject God’s grace?
2137,What Jordan Peterson Gets Wrong About Happiness,https://www.desiringgod.org/interviews/what-jordan-peterson-gets-wrong-about-happiness,2025-03-31,Christian Hedonism,Is the purpose of life to find meaning? Pastor John responds to Jordan Peterson’s claim that happiness cannot be our goal.
2136,Does God Withdraw His Presence from Me?,https://www.desiringgod.org/interviews/does-god-withdraw-his-presence-from-me,2025-03-27,The Covenants,"God promises never to leave us nor forsake us, but sometimes the Bible says he withdraws his presence from us. How can those both be true?"
2135,Seven Promises That Have Kept John Piper,https://www.desiringgod.org/interviews/seven-promises-that-have-kept-john-piper,2025-03-24,Assurance of Salvation,How can our faith turn from nominal to authentic? Pastor John reflects on God’s power to establish and sustain belief through his promises.
2134,Help Me Live a Genuine Life,https://www.desiringgod.org/interviews/help-me-live-a-genuine-life,2025-03-20,Sanctification & Growth,"When God commands a godly life of genuine affections, how do we obey? John Piper draws our attention to the transforming mercies of God."
2133,How Did Jesus Freely Live a Scripted Life?,https://www.desiringgod.org/interviews/how-did-jesus-freely-live-a-scripted-life,2025-03-17,The Sovereignty of God,"As Jesus headed toward the cross, he knew he was fulfilling the script that was written for him. So, how did he authentically choose a death already decided?"
2132,How Much of Christianity Remains a Secret?,https://www.desiringgod.org/interviews/how-much-of-christianity-remains-a-secret,2025-03-13,General Theology,"How much of the Christian faith has already been revealed to us now, and how much of it remains a secret that we won’t understand until we get to heaven?"
2131,"If No One Seeks God, How Is Anyone Saved?",https://www.desiringgod.org/interviews/if-no-one-seeks-god-how-is-anyone-saved,2025-03-10,The Grace of God,"If sinners cannot seek God, how does anyone receive salvation? Pastor John shows that God must give his power and grace precisely because we cannot seek him on our own."
2130,Are Christians Happier Than Non-Christians in This Life?,https://www.desiringgod.org/interviews/are-christians-happier-than-non-christians-in-this-life,2025-03-06,Joy,Why are Christians most to be pitied if there’s no resurrection? Don’t we still experience more joy than non-Christians? Pastor John gives four responses.
2129,I Never Felt Like God’s Enemy — Was I?,https://www.desiringgod.org/interviews/i-never-felt-like-gods-enemy-was-i,2025-03-03,The Power & Effects of Sin,"If we have no memory of hating or opposing God before he saved us, then how should we understand the Bible’s claim that we were his enemy?"
2128,Advice for Reading Romans After Decades of Experience,https://www.desiringgod.org/interviews/advice-for-reading-romans-after-decades-of-experience,2025-02-27,Bible Reading,Why does Pastor John believe Romans is the greatest letter ever written? And how would he encourage Christians to benefit from this monumental book?
2127,Should I Use AI to Help Me Write Sermons?,https://www.desiringgod.org/interviews/should-i-use-ai-to-help-me-write-sermons,2025-02-24,Preaching & Teaching,"Should pastors and ministry leaders use artificial intelligence as a tool to write their sermons and newsletters? If so, how? If not, why not?"
2126,Every Good Sermon Has Application,https://www.desiringgod.org/interviews/every-good-sermon-has-application,2025-02-20,Preaching & Teaching,How much life application should pastors offer in their sermons? Pastor John commends interweaving exposition and application throughout each sermon.
2125,What Makes Someone Spiritually Dirty?,https://www.desiringgod.org/interviews/what-makes-someone-spiritually-dirty,2025-02-17,Redemptive History,"When Jesus taught that impurity comes from within, was he departing from the Old Testament? Pastor John considers purity across the covenants."
2124,Why Does the Bible Say Baptism Saves Us?,https://www.desiringgod.org/interviews/why-does-the-bible-say-baptism-saves-us,2025-02-13,Baptism & Membership,"If God justifies by faith apart from works, then why do some passages seem to suggest that forgiveness comes through the act of baptism?"
2123,Living with Gospel-Sized Ambition,https://www.desiringgod.org/interviews/living-with-gospel-sized-ambition,2025-02-10,The Gospel,"Acts 20:24 has encouraged and challenged Christians throughout the centuries. How, in particular, has it shaped the life and ministry of John Piper?"
2122,Why Is Witchcraft Handled So Differently Across Scripture?,https://www.desiringgod.org/interviews/why-is-witchcraft-handled-so-differently-across-scripture,2025-02-06,Cults & The Occult,"In the Old Testament, witchcraft is met with capital punishment — but not in the New. Why does God handle this sin differently across redemptive history?"
2121,Is There Good Magic and Edifying Sorcery?,https://www.desiringgod.org/interviews/is-there-good-magic-and-edifying-sorcery,2025-02-03,Cults & The Occult,Do the signs and wonders in Scripture justify using righteous magic in fiction? Pastor John helps us discern the kinds of stories that serve our sight of Reality.
2120,How Do I Become Happy in God?,https://www.desiringgod.org/interviews/how-do-i-become-happy-in-god,2025-01-30,Biography,"Sometimes, the story of another Christian’s joy in God serves to kindle our own. Pastor John takes us to a remarkable moment in the life of Hudson Taylor."
2119,"If God Pastors Me, Why Do I Need Pastors?",https://www.desiringgod.org/interviews/if-god-pastors-me-why-do-i-need-pastors,2025-01-27,Pastoral Ministry,"God could have designed the world so that all the help we need comes from him directly. Instead, he often ministers to us indirectly through other people. Why?"
2118,How Do I Apply Bible Stories to My Life?,https://www.desiringgod.org/interviews/how-do-i-apply-bible-stories-to-my-life,2025-01-23,Bible Reading,How can we begin to grasp the meaning of biblical narratives and their application to life? Pastor John offers an example from the story of Joseph.
2117,"One Believer Dies, Another Lives: On Reading Providence",https://www.desiringgod.org/interviews/one-believer-dies-another-lives-on-reading-providence,2025-01-20,Death & Dying,"In Acts 12, God allows Herod to kill James, but he thwarts the king’s plan to kill Peter. What might this chapter teach us about God’s providence?"
2116,The Pleasure That Defeats Pornography,https://www.desiringgod.org/interviews/the-pleasure-that-defeats-pornography,2025-01-16,Sexual Purity,How does a promise about the future help us fight for purity today? Pastor John unpacks the power of the greatest pleasure purchased at the greatest price.
2115,Does God Believe in Atheists?,https://www.desiringgod.org/interviews/does-god-believe-in-atheists,2025-01-13,World Religions,"People for millennia have said, in one way or another, “There is no God.” Pastor John describes five ways we suppress the knowledge of God’s existence."
2114,Is Heaven a Real Place Right Now?,https://www.desiringgod.org/interviews/is-heaven-a-real-place-right-now,2025-01-09,Heaven & Hell,"Is heaven a physical place that exists right now? As Pastor John answers, he encourages us to focus mainly on the relational, not the spatial, aspect of heaven."
2113,Why Pray for Protection When Suffering Keeps Coming?,https://www.desiringgod.org/interviews/why-pray-for-protection-when-suffering-keeps-coming,2025-01-06,Suffering,"Even when our prayers for protection feel pointless, they are not. God is our good and sovereign Father, and it is never pointless to ask him for what we need."
2112,The Spiritual Battles in Your Bible Reading,https://www.desiringgod.org/interviews/the-spiritual-battles-in-your-bible-reading,2025-01-02,Bible Reading,"As we begin a new year of Bible reading, what obstacles can we expect to meet along the way — and what benefits will keep us reading day by day?"
2111,‘A Man at Church Thinks We Should Marry — I Disagree’,https://www.desiringgod.org/interviews/a-man-at-church-thinks-we-should-marry-i-disagree,2024-12-30,Knowing God’s Will,"If someone is convinced that he knows God’s will for us, yet we disagree, what can we do? Pastor John offers five ways forward."
2110,Am I Overusing Bible Commentaries?,https://www.desiringgod.org/interviews/am-i-overusing-bible-commentaries,2024-12-26,Bible Reading,"God gives the church teachers, including Bible commentators, to help us understand his word. But how can we tell if we’re relying on commentaries too much?"
2109,Does Christmas Bring Peace or War?,https://www.desiringgod.org/interviews/does-christmas-bring-peace-or-war,2024-12-23,War,"At Christmas, Jesus came to bring God-exalting happiness through peace with God — and merciful warfare against everything that destroys such happiness."
2108,The God over Geopolitics,https://www.desiringgod.org/interviews/the-god-over-geopolitics,2024-12-19,War,"In his infinite wisdom, righteousness, and power, God designs even the deeds of evil kings for the good of his people and the glory of his name."
2107,How Does God Deliver Me from Pain by Pain?,https://www.desiringgod.org/interviews/how-does-god-deliver-me-from-pain-by-pain,2024-12-16,The Sovereignty of God,Sometimes God delivers us from affliction through affliction. But what kinds of affliction does he use — and how can we know when he does so?
2106,Every Gift Points Us to Christ,https://www.desiringgod.org/interviews/every-gift-points-us-to-christ,2024-12-12,The Supremacy of Christ,"How can we know that we love God more than his gifts, especially during the Christmas season? Pastor John unlocks the answer with two keys."
2105,Will I Suffer My Singleness Forever?,https://www.desiringgod.org/interviews/will-i-suffer-my-singleness-forever,2024-12-09,Suffering,Single Christians may be tempted to despair over missing the experience of marital love. But God himself will see to it that our joy is eternally full in Christ.
2104,"On Creepy, Darker Media",https://www.desiringgod.org/interviews/on-creepy-darker-media,2024-12-05,Arts & Literature,"Since the Bible calls Christians children of light, should darkness and violence have any place in the stories we create?"
2103,On So-Called ‘Gender Pronoun Hospitality’,https://www.desiringgod.org/interviews/on-so-called-gender-pronoun-hospitality,2024-12-02,Social Issues,Should Christians show so-called “gender pronoun hospitality”? Pastor John shares practical ways to speak the truth in love with those confused about their sexuality.
2102,Christian Thankfulness: What It Is (and Isn’t),https://www.desiringgod.org/interviews/christian-thankfulness-what-it-is-and-isnt,2024-11-28,Gratitude,What is Christian thankfulness? Pastor John commends the power of a heart filled with gratitude to the Giver of every good gift.
2101,"‘Help, I’m Struggling to Believe Anything Is True’",https://www.desiringgod.org/interviews/help-im-struggling-to-believe-anything-is-true,2024-11-25,Faith,"When we continually struggle with doubts and unbelief, how can we know what is true? How can we believe that truth even exists?"
2100,Will We See God in Eternity?,https://www.desiringgod.org/interviews/will-we-see-god-in-eternity,2024-11-21,Heaven & Hell,"Will we be able to see God when we get to heaven? If so, how does that fit with Scripture passages that say no one can see God?"
2099,What’s True and False in Job?,https://www.desiringgod.org/interviews/whats-true-and-false-in-job,2024-11-18,Old Testament Biblical Figures,How do we discern what’s true and what’s false in Job? Pastor John provides a grid for the entire book to help us interpret it accurately.
2098,Can a Church Require Tithing?,https://www.desiringgod.org/interviews/can-a-church-require-tithing,2024-11-14,Giving,Should church leaders require Christians to tithe since God commanded tithing in the Old Testament? Pastor John commends a better approach.
2097,Can We Know Truth with Complete Certainty?,https://www.desiringgod.org/interviews/can-we-know-truth-with-complete-certainty,2024-11-11,Truth,"Arguments, logic, and careful analysis may give us 99 percent certainty for some doctrine or truth claim. But what about the remaining 1 percent?"
2096,Ministry After God Takes a Beloved Wife,https://www.desiringgod.org/interviews/ministry-after-god-takes-a-beloved-wife,2024-11-07,Marriage,Why did God take the life of Ezekiel’s wife and then command Ezekiel not to mourn? Pastor John considers the perplexing yet merciful ways of God.
2095,I Want God’s Wrath on My Enemy,https://www.desiringgod.org/interviews/i-want-gods-wrath-on-my-enemy,2024-11-04,Anger,How can we love our enemies when they treat us horrifically? Pastor John appeals to six biblical realities to help us face unimaginable darkness.
2094,How Not to Respond to Suffering,https://www.desiringgod.org/interviews/how-not-to-respond-to-suffering,2024-10-31,The Sovereignty of God,“Curse God and die.” Why does the author of Job relate the apparent despair of Job’s wife? What purpose does she play in the message of the book?
2093,Perfectionism Makes Me Indecisive — What Can I Do?,https://www.desiringgod.org/interviews/perfectionism-makes-me-indecisive-what-can-i-do,2024-10-28,The Unwasted Life,How can perfectionists make decisions without getting paralyzed by fear? Pastor John shares seven encouragements for those who feel stuck.
2092,When Are Good Grades Good Enough?,https://www.desiringgod.org/interviews/when-are-good-grades-good-enough,2024-10-24,Education,"How much should we sacrifice in order to do excellent work? Pastor John encourages perfectionists to find wisdom from a strong, spiritually mature community."
2091,What Future Judgment Will Christians Face?,https://www.desiringgod.org/interviews/what-future-judgment-will-christians-face,2024-10-21,End Times,"If Christians are no longer under wrath, why does Paul say that we will stand before God’s judgment seat? Pastor John clarifies the Christian’s future judgment."
2090,How Much Money Do I Need to Retire?,https://www.desiringgod.org/interviews/how-much-money-do-i-need-to-retire,2024-10-17,Money,How much money should we set aside for retirement? Pastor John commends three biblical principles to apply in our various contexts.
2089,How God Guards You,https://www.desiringgod.org/interviews/how-god-guards-you,2024-10-14,Perseverance of the Saints,"Does God ultimately sustain our faith, or do we? Pastor John unfolds 1 Peter 1:4–5 to show how God guards us to the end."
2088,Does Free Will Exist?,https://www.desiringgod.org/interviews/does-free-will-exist,2024-10-10,Calvinism,"Do humans have free will — and if so, what is it? Pastor John considers the depravity of the human heart and the sovereign grace that saves us."
2087,Do Christian Hedonists Deny Self-Denial?,https://www.desiringgod.org/interviews/do-christian-hedonists-deny-self-denial,2024-10-07,Christian Hedonism,"Does God’s command to deny ourselves contradict Christian Hedonism? Pastor John clarifies the God-centered, pleasure-seeking aim of all Christian self-denial."
2086,Joy’s Triumph over Spiritual Sloth,https://www.desiringgod.org/interviews/joys-triumph-over-spiritual-sloth,2024-10-03,The Unwasted Life,"How does zeal for God relate to joy in God? With help from Jonathan Edwards, Pastor John traces the crucial connection in four steps."
2085,Overcoming Spiritual Laziness,https://www.desiringgod.org/interviews/overcoming-spiritual-laziness,2024-09-30,The Unwasted Life,How do we overcome half-hearted spiritual laziness? Pastor John appeals to the apostle Paul and Jonathan Edwards to commend a life totally devoted to Christ.
2084,Rome’s Seven Deadly Errors,https://www.desiringgod.org/interviews/romes-seven-deadly-errors,2024-09-26,World Religions,"The Roman Catholic Church teaches numerous unbiblical doctrines. So, can devout Catholics be genuinely saved?"
2083,The Busy Soul Learning to Wait for God,https://www.desiringgod.org/interviews/the-busy-soul-learning-to-wait-for-god,2024-09-23,Waiting,"How can active, impatient doers learn to wait on God? Pastor John describes spiritual waiting — and shows how we can answer such a question for ourselves."
2082,"American Church, Is Your Christ Too Cheap?",https://www.desiringgod.org/interviews/american-church-is-your-christ-too-cheap,2024-09-19,The Supremacy of Christ,"Why do so many American Christians bear the marks of worldliness? Too often in our churches, Christ is too cheap, heaven is too distant, and earth is too big."
2081,Why Do I Exist?,https://www.desiringgod.org/interviews/why-do-i-exist,2024-09-16,Joy,Why do you exist? Why does anything exist? Pastor John shows from Isaiah 43:1–7 that God created his people to glorify him by enjoying him.
2080,Will God Forgive My Worst Sin?,https://www.desiringgod.org/interviews/will-god-forgive-my-worst-sin,2024-09-12,Forgiveness,Will God forgive my very worst sin? Pastor John shares seven powerful encouragements for those paralyzed with guilt.
2079,The Pitfalls of Being a Thinker,https://www.desiringgod.org/interviews/the-pitfalls-of-being-a-thinker,2024-09-09,Life of the Mind,Thinking is indispensable — but thinking is also dangerous. How can we use our minds to glorify God rather than puffing up ourselves?
2078,On Hoarding,https://www.desiringgod.org/interviews/on-hoarding,2024-09-05,Life Issues,How can we help those struggling with hoarding? Pastor John shares five underlying factors and five practical suggestions for those who seem stuck.
2077,How to Find the Meaning of a Bible Verse,https://www.desiringgod.org/interviews/how-to-find-the-meaning-of-a-bible-verse,2024-09-02,Tough Texts,How do we make sense of Bible passages that we don’t understand? Pastor John demonstrates how to patiently interpret Scripture with Scripture.
2076,What Is ‘White-Hot Worship’?,https://www.desiringgod.org/interviews/what-is-white-hot-worship,2024-08-29,Life of Worship,"Though our response to God often feels frustratingly inadequate, he is worthy of all our heart, soul, and mind. He is worthy of “white-hot worship.”"
2075,Did My Negligence Kill My Baby?,https://www.desiringgod.org/interviews/did-my-negligence-kill-my-baby,2024-08-26,Hope,What comfort does God give to those who feel responsible for tragic loss? Pastor John offers eight words of hope to a brokenhearted mom.
2074,Defining Success in My 9-to-5 Job,https://www.desiringgod.org/interviews/defining-success-in-my-9-to-5-job,2024-08-22,Work & Vocation,"What does it mean to “work heartily, as for the Lord” in our 9-to-5 jobs? Pastor John considers five qualities of faithful work from Paul’s words in Colossians 3."
2073,Your Holy Deeds Are Not Filthy Rags,https://www.desiringgod.org/interviews/your-holy-deeds-are-not-filthy-rags,2024-08-19,Prayer,"In Christ, the righteous deeds you do by faith are emphatically not “filthy rags.” Pastor John corrects a common and profound misunderstanding."
2072,Are Motorcycles for Fools?,https://www.desiringgod.org/interviews/are-motorcycles-for-fools,2024-08-15,Wisdom,"If God is sovereign over life and death, does it matter what risks we take? Pastor John considers the place of precautions beneath God’s providence."
2071,Should We Ever Speak Directly to the Devil?,https://www.desiringgod.org/interviews/should-we-ever-speak-directly-to-the-devil,2024-08-12,Spiritual Warfare,"Scripture gives us a category for addressing the devil, but our normal way of defeating him is by trusting the promises of God and killing our own sin."
2070,Seven Encouragements for Parents of Prodigals,https://www.desiringgod.org/interviews/seven-encouragements-for-parents-of-prodigals,2024-08-08,Parenting,How can we not lose heart over children who wander from Christ? Pastor John opens the parable of the prodigal son to offer encouragement after encouragement.
2069,Can We Pray for God to Teach Someone a Lesson?,https://www.desiringgod.org/interviews/can-we-pray-for-god-to-teach-someone-a-lesson,2024-08-05,Prayer,Can Christians ask God to teach the unrepentant hard lessons? Pastor John helps us pray against others’ sins without presuming to be God.
2068,Should My Construction Company Help Build a Casino?,https://www.desiringgod.org/interviews/should-my-construction-company-help-build-a-casino,2024-08-01,Work & Vocation,Should a Christian construction worker help to build a casino — or any other building that facilitates sin? Pastor John offers principles for the Christian conscience.
2067,"When Love Wanes, the Marriage Covenant Remains",https://www.desiringgod.org/interviews/when-love-wanes-the-marriage-covenant-remains,2024-07-29,Marriage,"Staying married is not first about staying in love. It’s about keeping a covenant that reflects Jesus’s own faithfulness to his bride, the church."
2066,Can a Single Pastor Date in His Church?,https://www.desiringgod.org/interviews/can-a-single-pastor-date-in-his-church,2024-07-25,Pastoral Ministry,Where should an unmarried pastor look for a wife? Pastor John encourages single men in ministry to take practical steps while trusting God’s providence.
2065,What Makes a True Friend?,https://www.desiringgod.org/interviews/what-makes-a-true-friend,2024-07-22,Friendship,"What makes for a true friend, according to God’s word? Pastor John sketches the nature and importance of friendship across the Scriptures."
2064,God Is Eager to Work for You,https://www.desiringgod.org/interviews/god-is-eager-to-work-for-you,2024-07-18,Faith,"God looks throughout the earth, eager to work for those whose hearts are whole toward him. Pastor John unfolds glory from a favorite verse."
2063,Will God Judge People for Being Born Muslim?,https://www.desiringgod.org/interviews/will-god-judge-people-for-being-born-muslim,2024-07-15,World Religions,Will God condemn someone for being born into another religion? Pastor John responds to a former Muslim deeply worried about her loved ones.
2062,On Repetitive Worship Songs,https://www.desiringgod.org/interviews/on-repetitive-worship-songs,2024-07-11,Corporate Worship,“For his steadfast love endures forever” appears 26 times in Psalm 136. What might we learn from this psalm about the right kind of repetition in worship?
2061,Let the Bible Smash Your Bad Theology,https://www.desiringgod.org/interviews/let-the-bible-smash-your-bad-theology,2024-07-08,Life of the Mind,"If you want more of your thoughts to become captive to Christ, open the Bible and pray, “Anything in my thinking that needs to be destroyed, destroy it.”"
2060,The Good Grace of Being American,https://www.desiringgod.org/interviews/the-good-grace-of-being-american,2024-07-04,Government,American citizens enjoy lavish blessings of common grace. Pastor John calls us to give thanks without giving away our far deeper allegiance to God’s special grace.
2059,Is My Joy Commanded or Spontaneous?,https://www.desiringgod.org/interviews/is-my-joy-commanded-or-spontaneous,2024-07-01,Joy,"If joy in God is a gift from God, why does he also command us to rejoice? Pastor John takes us into a paradox that lies at the heart of the God-glorifying life."
2058,The Next Generation of Missionaries,https://www.desiringgod.org/interviews/the-next-generation-of-missionaries,2024-06-27,World Missions,The local church’s task of sending and sustaining long-term missionaries rests on several deep biblical assumptions. Pastor John shares five.
2057,How Your Heart Governs Your Mind,https://www.desiringgod.org/interviews/how-your-heart-governs-your-mind,2024-06-24,Regeneration,"At the root of our sin is not a mind ignorant of God’s ways, but a darkened love, a hardened heart, and a will bent away from God’s ways."
2056,Resurrection Power for Our Pain,https://www.desiringgod.org/interviews/resurrection-power-for-our-pain,2024-06-20,Suffering,"In this fallen age, resurrection power does not keep us from pain. Instead, it brings life to others as we keep loving Jesus in our pain."
2055,The Emotional Roller Coaster of Bible Reading,https://www.desiringgod.org/interviews/the-emotional-roller-coaster-of-bible-reading,2024-06-17,Bible Reading,"Bible reading can bring comfort, but Bible reading can also bring fear. How can we rightly embrace both the comfort of God’s promises and the fear of his warnings?"
2054,Taste Test Your Way to God’s Will,https://www.desiringgod.org/interviews/taste-test-your-way-to-gods-will,2024-06-13,Knowing God’s Will,Paul says that the renewed mind discerns God’s good will “by testing.” What does that testing look like in the thousands of everyday decisions we make?
2053,God’s Purpose in Our Boredom,https://www.desiringgod.org/interviews/gods-purpose-in-our-boredom,2024-06-10,The Power & Effects of Sin,Our boredom in this world is meant to point us to another world — a world where the infinitely interesting God will banish boredom forever.
2052,How Can I Convince Comfortable People to Embrace Christ?,https://www.desiringgod.org/interviews/how-can-i-convince-comfortable-people-to-embrace-christ,2024-06-06,Evangelism,"No matter how comfortable our friends and neighbors may seem, they are headed for hell unless they repent. So, what words might break through their comfort?"
2051,"Satan, the ‘Prince of the Air’ — What Does That Mean?",https://www.desiringgod.org/interviews/satan-the-prince-of-the-air-what-does-that-mean,2024-06-03,Satan,Why does Paul call Satan “the prince of the power of the air”? Pastor John explores the extent of Satan’s authority and Christ’s decisive victory.
2050,"If I’m Not Elect, How Am I Guilty for Not Believing?",https://www.desiringgod.org/interviews/if-im-not-elect-how-am-i-guilty-for-not-believing,2024-05-30,Predestination,"If God has not chosen to save me, then why would he condemn me for not believing? Pastor John explains the kind of inability that does not remove responsibility."
2049,What Shia LaBeouf Gets Wrong About Joy,https://www.desiringgod.org/interviews/what-shia-labeouf-gets-wrong-about-joy,2024-05-27,The Death of Christ,Is Shia LaBeouf right to say that Jesus experienced “maximum joy” as he died? Pastor John considers the joy set before Christ and the horrors of the cross.
2048,Killing Lust with the Cross of Christ,https://www.desiringgod.org/interviews/killing-lust-with-the-cross-of-christ,2024-05-23,Sexual Purity,"“Cross,” “nails,” “spear,” and “thorns” are words that evoke images in our minds — images with tremendous power to dispel lustful thoughts."
2047,Ten Questions for Readers of Erotica,https://www.desiringgod.org/interviews/ten-questions-for-readers-of-erotica,2024-05-20,Sexual Purity,How should Christians think about sexually explicit material on the page rather than the screen? Pastor John offers ten questions for readers of erotica.
2046,Warning Our Children of Rebellion,https://www.desiringgod.org/interviews/warning-our-children-of-rebellion,2024-05-16,Parenting,"Parents have the God-given duty to warn their children not to rebel against Christ, and some of the most powerful warnings come from stories of failed rebellions."
2045,Mom’s Role in Raising Boys,https://www.desiringgod.org/interviews/moms-role-in-raising-boys,2024-05-13,Wives & Mothers,How can a mom raise boys to become strong and godly men? Pastor John offers counsel for training up the next generation.
2044,The Prayer You Don’t Want Answered,https://www.desiringgod.org/interviews/the-prayer-you-dont-want-answered,2024-05-09,Prayer,"Sometimes, God responds to our sinful requests with a merciful no. But other times, he gives what we ask, brings misery with it, and then amazingly works good through it."
2043,How Can I Grow in Expressing Affection?,https://www.desiringgod.org/interviews/how-can-i-grow-in-expressing-affection,2024-05-06,Speech,How can Christians grow in expressing their deepest affections for God and others? Pastor John offers eight pieces of counsel for those who struggle to speak.
2042,Why Does God Allow Satan to Block the Gospel?,https://www.desiringgod.org/interviews/why-does-god-allow-satan-to-block-the-gospel,2024-05-02,Satan,"God could destroy Satan at any moment. So, why has God allowed Satan to blind the minds of unbelievers from seeing the glory of Christ?"
2041,Are Parents to Blame for Prodigals?,https://www.desiringgod.org/interviews/are-parents-to-blame-for-prodigals,2024-04-29,Parenting,Does Proverbs 22:6 promise that children raised by godly parents will become Christians? Pastor John explains the proverb and points parents to their ultimate hope.
2040,How to Write a Good Sentence,https://www.desiringgod.org/interviews/how-to-write-a-good-sentence,2024-04-25,Poetry,"What makes a good sentence? Good sentences are true, clear, authentic, thoughtful, creative, well-timed, clean, loving, and glorifying to God."
2039,A Daily Morning Exercise,https://www.desiringgod.org/interviews/a-daily-morning-exercise,2024-04-22,Joy,"How can we walk through this world of sin, suffering, and futility with strength and joy? Psalm 90:14 holds the key."
2038,Am I Confident or Arrogant?,https://www.desiringgod.org/interviews/am-i-confident-or-arrogant,2024-04-18,Pride & Humility,"In a society steeped in self-worth and self-esteem, how can Christians aim for significance in a way that glorifies Christ?"
2037,Should the Church ‘Bless’ Same-Sex Relationships?,https://www.desiringgod.org/interviews/should-the-church-bless-same-sex-relationships,2024-04-15,Homosexuality,Should churches be willing to somehow “bless” same-sex relationships? Pastor John responds to Pope Francis’s concerning proposal.
2036,How Can I Glorify God as I Pray for Myself?,https://www.desiringgod.org/interviews/how-can-i-glorify-god-as-i-pray-for-myself,2024-04-11,Prayer,"God does everything he does for his glory, including answering our prayers. So, how can we align all our requests with this big, overarching purpose?"
2035,Am I Abusing Caffeine?,https://www.desiringgod.org/interviews/am-i-abusing-caffeine,2024-04-08,Diet & Exercise,How can we tell if we’re abusing caffeine (or any food or drink)? Pastor John offers three questions to guide a Christian’s consumption.
