episode_number,title,url,date,topic,description
S4E1,Here Is Your Permission To Set Boundaries With Jim Cress,https://therapyandtheology.transistor.fm/episodes/s4-e1-here-is-your-permission-to-set-boundaries,"September 11, 2023",Therapy & Theology,"Is it even biblical for Christians to draw boundaries in their relationships?In the first episode of our miniseries titled ""Boundaries Boot Camp,"" counselor Jim Cress ..."
S3E5,What If I Don’t Feel Ready to Forgive?,https://therapyandtheology.transistor.fm/episodes/s3-e5-what-if-i-don-t-feel-ready-to-forgive,"April 13, 2023",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""When a Relationship Is Falling Apart."" Join Lysa TerKeurst; her Licensed Professional Counselor, Jim Cress; and Proverb..."
S3E4,Moving on When Your Marriage Doesn’t,https://therapyandtheology.transistor.fm/episodes/s3-e4-moving-on-when-your-marriage-doesn-t,"April 6, 2023",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""When a Relationship Is Falling Apart."" Join Lysa TerKeurst; her Licensed Professional Counselor, Jim Cress; and Proverb..."
S3E3,What the Bible Says About a Marriage Falling Apart,https://therapyandtheology.transistor.fm/episodes/s3-e3-what-the-bible-says-about-a-marriage-falling-apart,"March 30, 2023",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""When a Relationship Is Falling Apart."" Join Lysa TerKeurst; her Licensed Professional Counselor, Jim Cress; and Proverb..."
S3E2,Difficult vs. Destructive Relationships with Leslie Vernick,https://therapyandtheology.transistor.fm/episodes/s3-e2-difficult-vs-destructive-relationships-with-leslie-vernick,"March 23, 2023",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""When a Relationship Is Falling Apart.""In this special episode, Lysa talks with her friend Leslie Vernick about the diff..."
S3E1,Is This Relationship Toxic?,https://therapyandtheology.transistor.fm/episodes/s3-e1-is-this-relationship-toxic,"March 16, 2023",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""When a Relationship Is Falling Apart."" Join Lysa TerKeurst; her Licensed Professional Counselor, Jim Cress; and Proverb..."
S2E6,What Makes a Woman Resilient,https://therapyandtheology.transistor.fm/episodes/s2-e6-what-makes-a-woman-resilient,"November 23, 2022",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""Let's Stop Avoiding This Conversation: 6 Topics Women Have Big Questions About."" Join Lysa TerKeurst; her licensed prof..."
S2E5,Red Flags We Shouldn’t Ignore in Relationships,https://therapyandtheology.transistor.fm/episodes/s2-e5-red-flags-we-shouldn-t-ignore-in-relationships,"November 17, 2022",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""Let's Stop Avoiding This Conversation: 6 Topics Women Have Big Questions About."" Join Lysa TerKeurst; her licensed prof..."
S2E4,Can We Talk About the Porn-demic?,https://therapyandtheology.transistor.fm/episodes/s2-e4-can-we-talk-about-the-porn-demic,"November 10, 2022",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""Let's Stop Avoiding This Conversation: 6 Topics Women Have Big Questions About."" Parental warning: Some of the topics i..."
S2E3,Commonly Debated and Misunderstood Bible Verses That Seem To Silence Women,https://therapyandtheology.transistor.fm/episodes/s2-e3-commonly-debated-and-misunderstood-bible-verses-that-seem-to-silence-women,"November 3, 2022",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""Let's Stop Avoiding This Conversation: 6 Topics Women Have Big Questions About."" Join Lysa TerKeurst; her licensed prof..."
S2E2,The Part Emotional Abuse Plays in Silencing Women,https://therapyandtheology.transistor.fm/episodes/s2-e2-the-part-emotional-abuse-plays-in-silencing-women,"October 27, 2022",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""Let's Stop Avoiding This Conversation: 6 Topics Women Have Big Questions About."" Join Lysa TerKeurst; her licensed prof..."
S2E1,Why No One Wins When a Woman Is Devalued,https://therapyandtheology.transistor.fm/episodes/s2-e1-why-no-one-wins-when-a-woman-is-devalued,"October 20, 2022",Therapy & Theology,"Welcome to a new series of Therapy & Theology: ""Let's Stop Avoiding This Conversation: 6 Topics Women Have Big Questions About."" Join Lysa TerKeurst; her licensed prof..."
S1E12,Mile Markers of Healing,https://therapyandtheology.transistor.fm/episodes/mile-markers-of-healing,"August 29, 2022",Therapy & Theology,"In the middle of painful circumstances you’re walking through, how do you know if you're moving toward healing?There is hope, friend.In this episode of Therapy & Theol..."
S1E11,Moving Through the Impact of Trauma,https://therapyandtheology.transistor.fm/episodes/moving-through-the-impact-of-trauma-with-lysa-terkeurst,"August 29, 2022",Therapy & Theology,"When you’ve experienced something heartbreaking or even devastating, it’s easy to question if you’re on your way to healing.Is it normal to feel this way? How do I sto..."
S1E10,Dealing With Anxiety,https://therapyandtheology.transistor.fm/episodes/dealing-with-anxiety,"August 29, 2022",Therapy & Theology,"When hurtful circumstances happen, we wonder, “How will I ever get over this?” Lysa TerKeurst deeply understands that feeling. Since the release of her book “It’s Not ..."
S1E9,How To Have Healthy Conversations,https://therapyandtheology.transistor.fm/episodes/how-to-have-healthy-conversations,"August 29, 2022",Therapy & Theology,"Our words frame our reality. The words we use are strong indicators of our personal emotional health, the health of our relationships, and whether or not we will go th..."
S1E8,Good Boundaries Lead to Better Relationships,https://therapyandtheology.transistor.fm/episodes/good-boundaries-lead-to-better-relationships,"August 29, 2022",Therapy & Theology,"We can love people … but we can’t change them. So what can we do? Draw necessary, healthy boundaries. It may feel overwhelming or even unloving at times, but what if b..."
S1E7,Relational Realities With a Narcissist,https://therapyandtheology.transistor.fm/episodes/relational-realities-with-a-narcissist,"August 29, 2022",Therapy & Theology,"In this episode of Therapy & Theology, you’ll hear Lysa TerKeurst; her personal, licensed counselor, Jim Cress; and Proverbs 31 Ministries Director of Theological Rese..."
S1E6,Narcissism ... What It Is and What It Isn’t,https://therapyandtheology.transistor.fm/episodes/narcissism-what-it-is-and-what-it-isn-t,"August 29, 2022",Therapy & Theology,"“Narcissism.” It’s a word that gets thrown around a lot, but what does it really mean? And how does it affect your life? So … what do we do if we’re in a relationship ..."
S1E5,"The Signs, Symptoms and Cures of Emotional Immaturity",https://therapyandtheology.transistor.fm/episodes/the-signs-symptoms-and-cures-of-emotional-immaturity,"August 29, 2022",Therapy & Theology,"If you want to become a doctor, you go to medical school. If you want to become a lawyer, you go to law school. But the truth is, no one sends us to school to become e..."
S1E4,What’s Really Motivating Your Love?,https://therapyandtheology.transistor.fm/episodes/what-s-really-motivating-your-love,"August 29, 2022",Therapy & Theology,"When our earthly experiences with love have left us feeling unprotected, uncertain and ultimately unloved, it’s tempting not to want to risk trusting anyone again.And ..."
S1E3,Stop the Shame Scripts Holding You Back,https://therapyandtheology.transistor.fm/episodes/stop-the-shame-scripts-holding-you-back,"August 29, 2022",Therapy & Theology,"All of us have facts that make up the stories of who we are. But we’re not just the sum total of these facts. There’s also the impact from these facts, which lives wit..."
S1E2,Good Guilt vs. Destructive Shame,https://therapyandtheology.transistor.fm/episodes/good-guilt-vs-destructive-shame,"August 29, 2022",Therapy & Theology,"Chances are, we all have been plagued by one of the heaviest, silent battles one can fight: shame. The enemy wants us to believe this lie: We are isolated and stuck in..."
S1E1,The Daily Cure for a Heavy Heart,https://therapyandtheology.transistor.fm/episodes/the-daily-cure-for-a-heavy-heart,"August 29, 2022",Therapy & Theology,"When we’ve been deeply hurt, whether by someone or by circumstances outside of our control, we often wonder if forgiveness is even possible. What if they never say the..."
